building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Ndeere  18 and 19 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708884507/attachments/attEuazMjYduLYt2Aupk9hHA/,,-0.008056 34.59679 1508.300048828125 11.199999809265137,-0.008056,34.59679,1508.300049,74,0799ded6-e175-4ef1-ac84-e4d687fd43e8,uuid:0799ded6-e175-4ef1-ac84-e4d687fd43e8
Directorate of public relations,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708887139/attachments/att49KKvHVg9fu6FgAaUK92R/,,-0.007557 34.595575 1508.300048828125 100,-0.007557,34.595575,1508.300049,80,bb6084bd-8c32-420a-9860-5c0867191822,uuid:bb6084bd-8c32-420a-9860-5c0867191822
Temporary structure,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708889329/attachments/attpQatqEQT3KiDfDy4iFEu2/,,-0.007557 34.596359 1508.300048828125 9.5,-0.007557,34.596359,1508.300049,90,bc316c8f-af35-46a3-9359-af15cac69900,uuid:bc316c8f-af35-46a3-9359-af15cac69900
Internal audit office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708890946/attachments/attLLYzm4PziptvdmQgFyGcb/,,-0.008234 34.59596 1506.300048828125 98.4000015258789,-0.008234,34.59596,1506.300049,79,93b5b110-5c2c-4dc9-8d50-a4c0d5982af9,uuid:93b5b110-5c2c-4dc9-8d50-a4c0d5982af9
School of graduate studies,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708892244/attachments/attDzAMKUpCGbSgz4cAFXBtt/,,-0.007946 34.597026 1508.300048828125 92.9000015258789,-0.007946,34.597026,1508.300049,78,d2bdffb1-5ad1-4628-a4a9-535573e23390,uuid:d2bdffb1-5ad1-4628-a4a9-535573e23390
School of graduate studies store room,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708893904/attachments/attezPwXUsMsQvTYjBtCCxBt/,,-0.007077 34.597997 1508.300048828125 100,-0.007077,34.597997,1508.300049,135,2f9cc3f3-1a56-4d10-9733-2c2f6c71c0fe,uuid:2f9cc3f3-1a56-4d10-9733-2c2f6c71c0fe
Other hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708895595/attachments/attsYwaTvULLZYSpPeSQSAeF/,,-0.008414 34.594994 1509.199951171875 56.21099853515625,-0.008414,34.594994,1509.199951,89,e4fdeef7-7b66-4c30-8bcc-ba245613afbf,uuid:e4fdeef7-7b66-4c30-8bcc-ba245613afbf
Guidance and counselling office,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708897707/attachments/attpfjRSCECyRpBWGJPGf2vR/,,-0.008414 34.594994 1509.199951171875 201.01499938964844,-0.008414,34.594994,1509.199951,85,6bce7c04-a23d-42c4-a685-f4d19d51e27b,uuid:6bce7c04-a23d-42c4-a685-f4d19d51e27b
Workers' quarters,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708901206/attachments/atthXG3CeK5z5aKEJg6FAtmu/,,-0.007681 34.595207 1508.9000244140625 20,-0.007681,34.595207,1508.900024,86,4b416c60-79af-407a-b1a2-63ff908bd000,uuid:4b416c60-79af-407a-b1a2-63ff908bd000
Workers' quarters,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708902000/attachments/attFWtxMLMZmCczb2XdVpbhM/,,-0.007755 34.595264 1509.5 56.099998474121094,-0.007755,34.595264,1509.5,88,7a6f11c9-4f0e-448c-b3ac-82bebfba2e79,uuid:7a6f11c9-4f0e-448c-b3ac-82bebfba2e79
